yr,site,tree,fruit,diam1,diam2,fw
16,rs,1,1,50,77,196
16,rs,1,2,56,78,215
16,rs,1,3,44,68,128
16,rs,1,4,43,67,124
16,rs,1,5,52,79,200
16,rs,1,6,52,79,199
16,rs,1,7,49,74,177
16,rs,1,8,49,77,180
16,rs,1,9,52,81,215
16,rs,1,10,47,73,153
16,rs,2,1,54,86,240
16,rs,2,3,58,89,286
16,rs,2,4,54,81,224
16,rs,2,5,57,86,265
16,rs,2,6,55,82,224
16,rs,2,7,53,82,242
16,rs,2,8,56,81,214
16,rs,2,9,51,81,217
16,rs,2,10,56,84,268
16,rs,3,1,55,85,264
16,rs,3,2,54,87,286
16,rs,3,3,56,85,262
16,rs,3,4,53,85,240
16,rs,3,5,53,82,251
16,rs,3,7,48,74,180
16,rs,3,8,51,83,237
16,rs,3,9,55,87,277
16,rs,4,1,48,77,203
16,rs,4,2,52,81,233
16,rs,4,3,58,77,190
16,rs,4,4,60,90,318
16,rs,4,5,53,85,232
16,rs,4,6,61,89,311
16,rs,4,7,53,82,243
16,rs,4,8,49,74,188
16,rs,4,9,52,83,255
16,rs,4,10,52,80,232
16,rs,5,1,59,86,272
16,rs,5,2,60,93,307
16,rs,5,3,52,75,180
16,rs,5,4,51,81,220
16,rs,5,5,51,82,230
16,rs,5,6,53,68,127
16,rs,5,7,59,88,285
16,rs,5,8,58,78,200
16,rs,5,9,54,84,261
16,rs,5,10,58,84,236
16,rs,6,1,56,89,290
16,rs,6,2,58,85,264
16,rs,6,3,58,89,295
16,rs,6,4,60,97,318
16,rs,6,6,56,87,289
16,rs,6,7,55,91,286
16,rs,6,8,59,86,257
16,rs,6,9,55,76,180
16,rs,6,10,60,95,332
16,rs,7,2,54,84,237
16,rs,7,4,54,83,238
16,rs,7,8,50,82,225
16,rs,7,9,62,93,320
16,rs,7,10,58,87,280
16,rs,8,1,49,77,199
16,rs,8,2,56,86,289
16,rs,8,3,54,82,233
16,rs,8,4,48,77,189
16,rs,8,5,57,88,289
16,rs,8,6,54,79,210
16,rs,8,7,52,85,255
16,rs,8,8,59,91,303
16,rs,8,9,52,82,239
16,rs,8,10,55,85,259
16,rs,9,1,57,90,281
16,rs,9,2,59,92,297
16,rs,9,3,55,88,259
16,rs,9,4,55,84,252
16,rs,9,5,57,88,264
16,rs,9,6,53,83,227
16,rs,9,7,58,91,275
16,rs,9,9,57,89,270
16,rs,9,10,56,88,292
16,rs,10,1,56,86,279
16,rs,10,5,62,96,347
16,rs,10,6,58,87,292
16,rs,10,8,62,92,333
16,rs,10,9,54,72,191
16,rs,10,10,56,88,289
16,bv,1,1,46,84,264
16,bv,1,2,46,83,233
16,bv,1,3,51,89,301
16,bv,1,4,47,84,273
16,bv,1,5,46,82,253
16,bv,1,6,38,74,172
16,bv,1,7,52,89,320
16,bv,1,8,49,81,236
16,bv,1,9,51,91,321
16,bv,1,10,57,87,288
16,bv,2,1,48,72,181
16,bv,2,2,48,75,203
16,bv,2,3,49,85,257
16,bv,2,4,50,84,242
16,bv,2,5,46,86,273
16,bv,2,6,38,70,152
16,bv,2,7,44,78,216
16,bv,2,8,40,75,179
16,bv,2,9,50,86,299
16,bv,2,10,44,75,202
16,bv,3,1,47,83,247
16,bv,3,2,48,82,253
16,bv,3,3,48,85,284
16,bv,3,4,50,88,306
16,bv,3,5,46,82,255
16,bv,3,6,50,85,264
16,bv,3,7,54,89,318
16,bv,3,8,45,76,200
16,bv,3,9,45,77,216
16,bv,3,10,43,76,198
16,bv,4,1,44,77,206
16,bv,4,2,39,80,224
16,bv,4,3,45,79,236
16,bv,4,4,48,85,253
16,bv,4,5,47,79,233
16,bv,4,6,50,86,270
16,bv,4,7,40,74,192
16,bv,4,8,48,77,197
16,bv,4,9,46,80,247
16,bv,4,10,50,85,282
16,bv,5,1,46,82,265
16,bv,5,2,39,73,177
16,bv,5,3,49,84,258
16,bv,5,4,48,85,289
16,bv,5,5,41,75,178
16,bv,5,6,54,94,374
16,bv,5,7,52,80,214
16,bv,5,8,54,96,385
16,bv,5,9,45,78,226
16,bv,5,10,41,77,216
16,bv,6,1,58,94,397
16,bv,6,2,50,87,269
16,bv,6,3,51,86,313
16,bv,6,4,44,79,209
16,bv,6,5,47,84,269
16,bv,6,6,51,85,305
16,bv,6,7,46,82,261
16,bv,6,8,51,82,242
16,bv,6,9,38,73,172
16,bv,6,10,55,94,373
16,bv,7,1,47,88,264
16,bv,7,2,53,85,274
16,bv,7,3,53,92,328
16,bv,7,4,48,86,262
16,bv,7,5,42,79,212
16,bv,7,6,42,78,208
16,bv,7,7,40,77,183
16,bv,7,8,45,84,257
16,bv,7,9,45,80,232
16,bv,7,10,48,85,282
16,bv,8,1,48,88,266
16,bv,8,2,45,79,226
16,bv,8,3,46,83,257
16,bv,8,4,47,82,227
16,bv,8,5,50,89,302
16,bv,8,6,50,88,303
16,bv,8,7,45,75,212
16,bv,8,8,48,84,260
16,bv,8,9,48,81,241
