diameter,weight,cultivar
43.13,35.37,Holyday
53.45,50.59,Holyday
47.01,56.76,Holyday
50.9,56.56,Holyday
53.97,61.7,Holyday
55.07,71.77,Holyday
57.22,73.01,Holyday
55.42,74.86,Holyday
55.77,75.27,Holyday
57.33,75.48,Holyday
58.2,75.48,Holyday
57.45,77.53,Holyday
57.16,78.35,Holyday
60.64,76.5,Holyday
59.71,80.41,Holyday
59.07,80.82,Holyday
58.72,81.85,Holyday
61.57,81.23,Holyday
59.07,84.94,Holyday
60.29,84.11,Holyday
60.93,84.52,Holyday
60.12,85.14,Holyday
59.94,86.17,Holyday
60.35,86.38,Holyday
61.1,85.96,Holyday
61.68,85.55,Holyday
61.68,86.99,Holyday
62.38,86.58,Holyday
62.49,88.02,Holyday
62.67,89.87,Holyday
63.07,89.67,Holyday
63.71,89.67,Holyday
64.17,90.49,Holyday
63.36,92.13,Holyday
62.2,89.67,Holyday
62.26,91.31,Holyday
61.22,88.64,Holyday
61.39,90.28,Holyday
61.68,91.52,Holyday
60.17,93.16,Holyday
60.64,93.37,Holyday
62.26,92.96,Holyday
64.35,93.16,Holyday
62.78,94.19,Holyday
62.26,94.6,Holyday
61.91,94.6,Holyday
61.68,94.81,Holyday
60.93,96.04,Holyday
60.52,96.86,Holyday
62.2,96.04,Holyday
62.61,96.04,Holyday
63.07,95.22,Holyday
63.3,96.04,Holyday
64,96.45,Holyday
64.58,97.07,Holyday
65.91,96.04,Holyday
64.75,99.54,Holyday
64.41,99.54,Holyday
64.17,99.33,Holyday
63.71,99.33,Holyday
63.19,98.92,Holyday
62.96,99.33,Holyday
62.26,98.92,Holyday
62.26,100.77,Holyday
63.19,101.8,Holyday
63.48,100.57,Holyday
64.7,101.59,Holyday
66.14,100.57,Holyday
65.04,101.8,Holyday
65.51,102.01,Holyday
66.49,103.03,Holyday
65.62,103.44,Holyday
65.16,103.65,Holyday
64.81,103.65,Holyday
64.23,103.03,Holyday
63.83,103.24,Holyday
63.83,104.68,Holyday
63.07,105.5,Holyday
64.46,104.88,Holyday
64.17,105.91,Holyday
64.99,105.3,Holyday
65.57,105.91,Holyday
66.78,104.88,Holyday
67.48,106.53,Holyday
66.96,107.76,Holyday
65.22,106.94,Holyday
64.81,106.94,Holyday
63.25,107.56,Holyday
63.77,107.97,Holyday
64.06,109.41,Holyday
62.03,111.67,Holyday
65.28,108.17,Holyday
65.62,108.59,Holyday
65.91,109.41,Holyday
67.19,109.82,Holyday
67.36,110.85,Holyday
66.26,111.05,Holyday
65.74,112.29,Holyday
65.22,112.08,Holyday
65.04,113.52,Holyday
66.2,113.73,Holyday
66.96,112.9,Holyday
67.19,114.14,Holyday
68,113.93,Holyday
68.64,113.52,Holyday
68.99,113.73,Holyday
69.04,115.37,Holyday
68.7,114.96,Holyday
67.94,114.96,Holyday
67.59,114.96,Holyday
67.19,115.58,Holyday
66.78,114.55,Holyday
66.43,116.4,Holyday
65.91,117.63,Holyday
65.74,118.46,Holyday
66.49,118.87,Holyday
67.07,118.87,Holyday
67.42,118.25,Holyday
67.88,117.22,Holyday
68.35,118.05,Holyday
67.88,119.49,Holyday
67.48,119.69,Holyday
68.17,121.13,Holyday
66.55,120.93,Holyday
65.86,122.16,Holyday
69.04,120.72,Holyday
70.49,119.49,Holyday
70.2,121.54,Holyday
69.8,123.6,Holyday
69.45,123.39,Holyday
68.87,124.63,Holyday
68.12,124.63,Holyday
68.12,126.48,Holyday
71.01,123.6,Holyday
70.84,125.86,Holyday
69.62,129.56,Holyday
68.81,129.77,Holyday
68.81,130.59,Holyday
69.22,131,Holyday
70.14,131.62,Holyday
70.2,132.65,Holyday
70.9,133.06,Holyday
71.07,135.32,Holyday
70.38,135.73,Holyday
69.57,135.12,Holyday
71.83,138.82,Holyday
73.51,148.28,Holyday
69.1,88.43,Holyday
69.51,89.67,Holyday
58.09,80,Holyday
