weight,diameter,TreeID
204,79,1
220,81,1
222,83,1
207,79,1
162,71,1
194,80,1
328,95,1
300,89,1
274,87,2
221,80,2
400,99,2
335,94,2
165,74,2
320,93,2
298,90,2
335,90,3
318,92,3
248,84,3
320,90,3
294,88,3
354,97,4
269,88,4
150,72,4
243,85,4
365,100,4
320,90,4
242,85,4
275,91,4
148,69,5
221,81,5
284,90,5
271,86,5
316,91,5
312,90,5
270,86,5
193,77,5
337,92,6
359,97,6
268,86,6
218,80,6
298,89,6
202,79,6
187,73,6
295,87,6
217,79,7
205,79,7
292,90,7
223,82,7
307,88,7
313,91,7
295,90,7
344,97,7
302,90,8
313,92,8
329,91,8
487,108,8
311,90,8
265,86,8
307,93,8
254,86,8
338,95,8
156,74,9
257,84,9
285,86,9
289,87,9
207,78,9
363,98,9
340,96,10
241,85,10
241,85,10
265,89,10
374,98,10
286,92,10
189,79,10
268,92,10
