diameter,weight,cultivar
79,201,gala
75,190,gala
59,100,gala
66,135,gala
69,155,gala
61,107,gala
64,125,gala
73,171,gala
73,168,gala
67,152,gala
68,135,gala
69,152,gala
70,150,gala
76,180,gala
79,222,gala
71,170,gala
63,120,gala
69,163,gala
67,134,gala
73,171,gala
76,196,gala
60,144,gala
72,165,gala
70,159,gala
66,134,gala
71,164,gala
70,158,gala
73,160,gala
71,161,gala
73,173,gala
73,176,gala
69,155,gala
71,178,gala
77,195,gala
74,186,gala
75,198,gala
74,198,gala
67,135,gala
77,209,gala
62,119,gala
61,95,gala
69,162,gala
68,138,gala
73,188,gala
74,191,gala
78,206,gala
81,244,gala
73,186,gala
60,104,gala
68,159,gala
66,132,gala
69,159,gala
79,220,gala
67,135,gala
70,164,gala
74,174,gala
64,122,gala
68,148,gala
69,164,gala
72,185,gala
74,188,gala
71,190,gala
64,114,gala
66,148,gala
69,149,gala
72,179,gala
64,119,gala
63,156,gala
73,178,gala
65,126,gala
74,176,gala
74,189,gala
73,178,gala
66,130,gala
62,108,gala
72,171,gala
71,158,gala
67,127,gala
72,184,gala
77,160,gala
69,160,gala
71,170,gala
65,129,gala
74,194,gala
62,126,gala
66,133,gala
74,197,gala
66,138,gala
69,169,gala
66,140,gala
72,166,gala
75,213,gala
75,208,gala
74,183,gala
65,122,gala
81,235,gala
59,98,gala
70,171,gala
66,150,gala
66,133,gala
68,146,gala
71,170,gala
71,169,gala
58,94,gala
71,170,gala
66,146,gala
75,196,gala
67,145,gala
66,128,gala
69,164,gala
67,149,gala
69,163,gala
70,164,gala
79,223,gala
59,93,gala
73,190,gala
71,174,gala
77,203,gala
77,232,gala
70,160,gala
65,139,gala
62,122,gala
74,216,gala
66,132,gala
68,172,gala
75,194,gala
74,194,gala
81,263,gala
62,123,gala
71,162,gala
76,211,gala
72,193,gala
76,214,gala
76,215,gala
65,141,gala
74,182,gala
74,200,gala
71,187,gala
72,191,gala
79,224,gala
71,173,gala
74,190,gala
74,171,gala
70,158,gala
62,110,gala
73,180,gala
72,174,gala
