weight,diameter,TreeID
126.94,67,1
142.97,70,1
128.80,70,1
140.36,72,1
59.63,52,2
59.20,53,2
89.52,53,2
77.91,57,2
77.26,57,2
74.88,58,2
86.56,60,2
87.66,60,2
94.33,60,2
91.79,61,2
90.40,61,2
93.08,61,2
94.88,61,2
93.60,61,2
90.24,61,2
90.56,62,2
94.61,62,2
95.73,62,2
101.65,62,2
95.33,62,2
94.42,62,2
97.70,62,2
94.58,62,2
98.03,62,2
97.77,62,2
95.00,63,2
101.21,63,2
98.71,63,2
95.11,63,2
96.63,63,2
101.36,63,2
99.52,64,2
105.83,64,2
104.08,64,2
98.67,64,2
105.92,64,2
102.86,64,2
104.82,64,2
106.87,64,2
104.59,64,2
110.77,64,2
106.31,65,2
104.16,65,2
106.99,65,2
104.33,65,2
105.78,65,2
111.74,65,2
105.52,65,2
107.29,65,2
102.55,65,2
108.62,65,2
111.34,65,2
109.16,65,2
105.93,65,2
107.92,65,2
109.86,65,2
113.81,65,2
106.41,65,2
110.30,66,2
106.73,66,2
115.11,66,2
113.51,66,2
116.02,66,2
112.44,66,2
111.65,66,2
114.84,66,2
112.60,66,2
117.87,66,2
113.61,66,2
118.29,66,2
111.03,67,2
114.76,67,2
113.18,67,2
113.28,67,2
117.34,67,2
123.57,67,2
114.05,67,2
120.22,67,2
118.65,67,2
120.77,67,2
115.68,67,2
115.53,67,2
119.51,67,2
117.80,67,2
118.91,67,2
118.96,67,2
115.12,67,2
119.57,67,2
116.79,67,2
117.39,67,2
118.77,67,2
121.52,67,2
123.62,67,2
115.81,67,2
118.38,67,2
119.68,67,2
121.34,68,2
120.65,68,2
124.98,68,2
126.47,68,2
125.46,68,2
120.96,68,2
122.31,68,2
124.24,68,2
127.75,68,2
128.79,68,2
120.94,68,2
130.33,68,2
123.28,68,2
132.09,69,2
131.89,69,2
121.88,69,2
127.62,69,2
123.25,69,2
134.88,69,2
135.20,69,2
131.85,69,2
138.77,70,2
135.98,70,2
128.36,70,2
135.86,70,2
132.46,70,2
132.58,70,2
133.66,71,2
142.34,71,2
143.11,71,2
139.41,71,2
135.37,72,2
144.72,72,2
138.90,72,2
140.69,72,2
146.14,72,2
143.34,72,2
146.06,73,2
148.02,73,2
154.70,74,2
156.07,74,2
152.16,74,2
157.23,75,2
187.55,78,2
49.20,49,3
45.89,49,3
51.32,51,3
52.82,52,3
58.51,53,3
60.46,53,3
59.95,53,3
61.91,53,3
62.25,54,3
62.97,54,3
67.71,54,3
64.06,54,3
67.76,55,3
69.72,56,3
68.78,56,3
66.02,56,3
66.62,56,3
72.79,57,3
72.88,57,3
72.03,57,3
73.47,57,3
71.58,57,3
73.93,57,3
74.29,57,3
74.67,58,3
73.20,58,3
76.18,59,3
78.64,59,3
77.22,59,3
83.28,59,3
81.92,59,3
80.53,60,3
81.80,60,3
82.96,60,3
83.15,60,3
72.98,60,3
81.49,60,3
91.20,60,3
83.36,60,3
87.66,60,3
83.11,60,3
89.27,60,3
91.11,60,3
87.00,60,3
84.63,60,3
83.14,61,3
88.47,61,3
84.57,61,3
93.53,61,3
88.67,61,3
108.32,61,3
93.60,61,3
90.99,62,3
93.87,62,3
91.03,62,3
94.47,62,3
95.06,62,3
89.10,62,3
91.58,62,3
92.40,62,3
92.12,62,3
