diameter,weight,TreeID,site
79,201,1,rs
75,190,1,rs
59,100,2,rs
66,135,2,rs
69,155,2,rs
61,107,2,rs
64,125,4,rs
73,171,4,rs
73,168,4,rs
67,152,5,rs
68,135,5,rs
69,152,5,rs
70,150,5,rs
76,180,7,rs
79,222,7,rs
71,170,8,rs
63,120,8,rs
69,163,8,rs
67,134,8,rs
73,171,8,rs
76,196,10,rs
60,144,10,rs
72,165,13,rs
70,159,13,rs
66,134,13,rs
71,164,13,rs
70,158,14,rs
73,160,14,rs
71,161,3,rs
73,173,3,bd
73,176,3,bd
69,155,3,bd
71,178,3,bd
77,195,3,bd
74,186,3,bd
75,198,3,bd
74,198,3,bd
67,135,3,bd
77,209,3,bd
62,119,4,bd
61,95,4,bd
69,162,4,bd
68,138,4,bd
73,188,4,bd
74,191,4,bd
78,206,4,bd
81,244,4,bd
73,186,4,bd
60,104,4,bd
68,159,5,bd
66,132,5,bd
69,159,5,bd
79,220,5,bd
67,135,5,bd
70,164,5,bd
74,174,5,bd
64,122,5,bd
68,148,5,bd
69,164,5,bd
72,185,6,bd
74,188,6,bd
71,190,6,bd
64,114,6,bd
66,148,6,bd
69,149,6,bd
72,179,6,bd
64,119,6,bd
63,156,6,bd
73,178,6,bd
65,126,7,bd
74,176,7,bd
74,189,7,bd
73,178,7,bd
66,130,7,bd
62,108,7,bd
72,171,7,bd
71,158,7,bd
67,127,7,bd
72,184,7,bd
77,160,8,bd
69,160,8,bd
71,170,8,bd
65,129,8,bd
74,194,8,bd
62,126,8,bd
66,133,8,bd
74,197,8,bd
66,138,10,bd
69,169,10,bd
66,140,10,bd
72,166,10,bd
75,213,10,bd
75,208,10,bd
74,183,10,bd
65,122,10,bd
81,235,10,bd
59,98,10,bd
70,171,11,bd
66,150,11,bd
66,133,11,bd
68,146,11,bd
71,170,11,bd
71,169,11,bd
58,94,11,bd
71,170,11,bd
66,146,12,bd
75,196,12,bd
67,145,12,bd
66,128,12,bd
69,164,12,bd
67,149,12,bd
69,163,12,bd
70,164,12,bd
79,223,12,bd
59,93,12,bd
73,190,13,bd
71,174,13,bd
77,203,13,bd
77,232,13,bd
70,160,13,bd
65,139,13,bd
62,122,13,bd
74,216,13,bd
66,132,13,bd
68,172,13,bd
75,194,8,bv
74,194,8,bv
81,263,8,bv
62,123,8,bv
71,162,8,bv
76,211,8,bv
72,193,8,bv
76,214,8,bv
76,215,9,bv
65,141,9,bv
74,182,9,bv
74,200,9,bv
71,187,9,bv
72,191,9,bv
79,224,9,bv
71,173,9,bv
74,190,9,bv
74,171,9,bv
70,158,11,bv
62,110,11,bv
73,180,11,bv
72,174,11,bv
66,137,11,bv
75,192,11,bv
67,154,11,bv
74,195,11,bv
64,124,11,bv
72,174,12,bv
75,186,12,bv
64,122,12,bv
68,152,12,bv
73,189,12,bv
73,175,12,bv
74,184,12,bv
70,163,12,bv
66,142,12,bv
73,175,12,bv
78,227,13,bv
76,216,13,bv
67,140,13,bv
74,188,13,bv
70,180,13,bv
68,157,13,bv
78,217,13,bv
73,178,13,bv
76,208,13,bv
73,183,13,bv
68,147,15,bv
72,181,15,bv
74,199,15,bv
78,229,15,bv
72,172,15,bv
74,189,15,bv
74,180,15,bv
70,162,15,bv
76,227,15,bv
71,176,16,bv
78,223,16,bv
75,211,16,bv
74,196,16,bv
75,213,16,bv
77,215,16,bv
73,180,16,bv
73,188,16,bv
77,223,16,bv
78,233,16,bv
75,204,17,bv
68,154,17,bv
67,145,17,bv
73,182,17,bv
71,186,17,bv
65,128,17,bv
72,177,17,bv
66,142,17,bv
78,217,17,bv
74,189,17,bv
70,168,18,bv
61,115,18,bv
71,171,18,bv
74,201,18,bv
81,249,18,bv
71,168,18,bv
72,183,18,bv
75,203,18,bv
72,186,18,bv
