weight,diameter
54,51.7
55.1,50.9
56.8,53.4
58.9,52.6
58.5,54.4
60.5,53.4
61.7,54
63.6,54.5
64.5,55
66.4,56.4
67.1,55
68,55.5
68,56.2
68,57.5
68.5,58.1
68.7,55.5
69.7,57.6
70.3,56.6
70.6,56.4
71.3,57.1
71.8,57.7
73.4,58.2
73.6,57.4
73.6,57.9
74.3,57.7
74.3,58.7
74.3,59
74.5,56.6
75.2,57.7
76,59.5
76.2,59.3
76.4,57.7
77.8,59.1
78.3,58.5
78.5,59.5
79.4,58.3
79.9,59.4
80.4,58.9
80.4,60.4
81.3,59.3
81.6,59.9
81.8,59.9
82,59.7
82.5,60.5
82.5,60.7
82.7,58.5
83.2,60.2
83.7,60.5
84.1,61.1
84.6,60.7
84.8,61.3
85.9,59.5
86,60.4
86.5,61.2
86.9,60.7
86.9,62.2
87.2,61.5
87.8,60.7
87.9,61.5
88.1,62.5
88.1,62.4
89,61.3
89.7,62.7
90.2,61.5
90.2,62.2
90.4,61.9
90.9,62.3
91.4,62.4
91.8,62.8
92.3,61.9
92.3,63
92.3,63.4
93,63.2
93,61.4
93.4,62.1
93.4,62.8
93.9,62
94.4,63
94.4,64.3
94.8,61.8
94.9,63.8
95.3,62.4
96.2,62.8
96.7,63.7
97.2,64
97.6,62.6
98.3,63.2
98.4,64.4
99,62.6
99.1,64.9
100.7,65
101.1,63.8
103,65
103,63.7
103.2,64.4
104.6,64.3
104.9,65
104.9,65.6
104.9,65.8
106,66
106.5,66.2
107.4,65.4
109.5,65.8
109.5,66.4
110.5,66.2
110.5,67
111.6,67
114,67.4
114.4,68
115.3,67.3
117.2,67.2
121.6,68.3
123,68.7
123.7,67.8
124.4,67.9
125.4,69.2
